iter	Passed	Remaining
0	143	14247
1	164	8058
2	186	6042
3	211	5077
4	231	4389
5	255	3996
6	280	3722
7	303	3495
8	329	3330
9	353	3180
10	378	3064
11	403	2956
12	426	2855
13	451	2770
14	475	2695
15	497	2610
16	515	2519
17	530	2414
18	549	2341
19	568	2274
20	589	2217
21	619	2197
22	642	2149
23	661	2094
24	680	2040
25	698	1987
26	716	1938
27	735	1891
28	749	1835
29	766	1788
30	783	1744
31	800	1701
32	817	1659
33	835	1621
34	852	1584
35	869	1545
36	886	1508
37	902	1471
38	918	1436
39	933	1400
40	950	1367
41	966	1334
42	983	1303
43	999	1272
44	1018	1245
45	1036	1216
46	1054	1189
47	1071	1161
48	1090	1134
49	1107	1107
50	1124	1080
51	1142	1054
52	1160	1028
53	1177	1002
54	1194	977
55	1211	951
56	1228	926
57	1244	901
58	1261	876
59	1277	851
60	1308	836
61	1325	812
62	1342	788
63	1358	764
64	1375	740
65	1391	716
66	1408	693
67	1424	670
68	1440	647
69	1457	624
70	1474	602
71	1491	580
72	1508	557
73	1524	535
74	1540	513
75	1557	491
76	1573	470
77	1590	448
78	1607	427
79	1628	407
80	1644	385
81	1660	364
82	1677	343
83	1693	322
84	1709	301
85	1725	280
86	1741	260
87	1758	239
88	1775	219
89	1791	199
90	1807	178
91	1824	158
92	1840	138
93	1857	118
94	1874	98
95	1890	78
96	1907	58
97	1923	39
98	1940	19
99	1956	0
